,a/wuhan/359/1995,a/sydney/5/1997,a/moscow/10/1999,a/fujian/411/2002,a/wisconsin/67/2005,a/brisbane/10/2007,a/perth/16/2009,a/victoria/361/2011,a/swine/texas/4199-1/1998,a/swine/colorado/23619/1999,a/swine/minnesota/1146/2006,a/swine/iowa/1700/2007,a/swine/minnesota/2782/2009,a/swine/illinois/02970/2009,a/indiana/8/2011,a/swine/newyork/a01104005/2011,a/swine/indiana/a00968373/2012,a/swine/indiana/a01202866/2011,a/swine/illinois/a01201606/2011,a/swine/iowa/a01202613/2011,a/swine/iowa/a01049750/2011,a/swine/texas/a01049914/2011,a/swine/michigan/a01432375/2013,a/swine/iowa/a01432500/2013,a/swine/minnesota/a01432544/2013,a/swine/minnesota/a01280592/2013,a/turkey/ohio/313053/2004,a/swine/iowa/a01480656/2014,a/swine/wyoming/a01444562/2013,a/swine/pennsylvania/a01076777/2010,a/swine/missouri/a01410819/2014
a/swine/minnesota/a01049936/2011,6,-1,-1,-1,-1,-1,-1,-1,7.3,-1,-1,-1,5.8,-1,4.6,3.3,-1,3.9,-1,-1,-1,6.9,-1,3.4,-1,-1,-1,1.6,-1,-1,-1
a/swine/nebraska/a01567651/2015,5.4,-1,-1,-1,-1,6,-1,7.7,5.3,-1,-1,-1,5.2,-1,3.6,1.7,-1,6.9,-1,-1,-1,4.2,-1,4.4,-1,-1,-1,3.6,-1,-1,-1
a/swine/minnesota/a01277201/2012,4.4,6.5,-1,8.1,-1,-1,-1,-1,7.3,-1,-1,-1,5.8,-1,5,3.3,-1,5.5,-1,-1,-1,-1,-1,3,-1,-1,-1,1.6,-1,-1,-1
a/swine/missouri/a01410819/2014,4.4,5.9,7.6,2,6.6,3,3.2,6,6.3,-1,-1,3.8,5.6,-1,6.6,5,7,8.6,5.7,3.9,7.2,3.5,-1,4,5,6,-1,-1,-1,-1,0
a/swine/missouri/a01476459/2012,4.9,6.5,6,5.4,4.6,2.6,2.8,2,-1,-1,-1,4.5,7.8,-1,6.6,5.7,8.4,7.9,-1,5.5,-1,4.2,-1,7,5.4,7,-1,-1,-1,-1,0.6
a/swine/north_carolina/a01730588/2016,-1,-1,-1,-1,-1,-1,-1,8,6.3,-1,-1,-1,2.8,-1,1.6,0.3,-1,5.5,-1,-1,-1,3.5,-1,6.4,-1,-1,-1,3.6,-1,-1,-1
a/swine/iowa/a01730108/2016,4.4,6.5,-1,8,-1,5.6,-1,7,5.3,-1,-1,-1,6.8,-1,-1,5,-1,3.9,-1,-1,-1,4.5,-1,5,-1,-1,-1,2.8,-1,-1,-1
a/swine/minnesota/a01471950/2015,5.4,-1,-1,9.2,-1,-1,-1,-1,7.3,-1,-1,-1,5.8,-1,4,2.3,-1,6.2,-1,-1,-1,5.8,-1,4.4,-1,-1,-1,1.6,-1,-1,-1
a/swine/oklahoma/a01776961/2016,7.1,-1,-1,-1,-1,-1,-1,9.1,6.3,-1,-1,-1,3.8,-1,2.6,0.3,-1,6.9,-1,-1,-1,4.8,-1,4.7,-1,-1,-1,3.2,-1,-1,-1
a/swine/north_carolina/a01732564/2016,4.9,7.6,-1,7,-1,6.6,-1,7,5.3,-1,-1,-1,6.2,-1,-1,5.4,-1,3.9,-1,-1,-1,4.8,-1,6,-1,-1,-1,3.8,-1,-1,-1
a/swine/iowa/a01729543/2016,3.4,6.5,-1,9.2,-1,-1,-1,-1,4.3,-1,-1,-1,4.4,-1,4,2.2,-1,7.5,-1,-1,-1,4.2,-1,3.4,-1,-1,-1,0.6,-1,-1,-1
a/swine/nebraska/a01478775/2015,2.9,5.9,-1,8.1,-1,-1,-1,-1,4.3,-1,-1,-1,4.2,-1,4,1.3,-1,6.9,-1,-1,-1,5.2,-1,2.4,-1,-1,-1,0.2,-1,-1,-1
a/swine/illinois/a01555638/2015,7.1,-1,-1,-1,-1,9.7,-1,8,6.3,-1,-1,-1,2.8,-1,3,0.7,-1,6.9,-1,-1,-1,4.8,-1,5.8,-1,-1,-1,3.2,-1,-1,-1
